409,,,,,,,,,,,,,,,,
,L1.3,"Qualified Lead, drop","Quyết định ko mua, từ chối tư vấn thêm, ghost",,,,,,,,,,,,,
,L2.1,Qualified Lead with insight,"Chia sẻ thêm, có được insight, chia được theo tag segment",,,,,,,,,,,,,
,L2.2,"Qualified Lead with insight, processing",Đang tư vấn theo segment,,,,,,,,,,,,,
,L2.3,"Qualified Lead with insight, drop","Từ chối, ghost",,,,,,,,,,,,,
,L3.1,Consider Lead,"Thấy phù hợp, đang cân nhắc mua",,,,,,,,,,,,,
,L3.2,"Consider Lead, processing",Đang hướng dẫn thanh toán,,,,,,,,,,,,,
,L3.3,"Consider Lead, drop","Ghost, không tiếp tục process lead",,,,,,,,,,,,,
,L4,Customer,,,,,,,,,,,,,,
,L4.3,Refund,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
P_Level,,,,,,,,,,,,,,,,
,Level,,,,,,,,,,,,,,,
,A0,Chưa nhận thức,"""Tôi không nhận ra việc học piano là điều cần làm trong cuộc sống này""",,,,,,,,,,,,,
,A1,Nhận biết vấn đề,"""Ồ, học Piano cũng vui, nhưng tôi không cần phải học ngay bây giờ.""",,,,,,,,,,,,,
,A2.A1,Cảm giác bất khả thi,"""Học Piano khó, tôi không nghĩ mình sẽ học được với khả năng tài chính và thời gian rảnh của tôi""",,,,,,,,,,,,,
,A2.A2,,"""Học Piano khó, tôi đã từng thử tìm kiếm các phương pháp học với mình nhưng không thấy phù hợp, không hiệu quả""",,,,,,,,,,,,,
,A2.B,Nhận thức về chi phí,"""Học Piano tốn rất nhiều chi phí cơ hội về tiền, về thời gian, nỗ lực công sức bỏ vào, liệu nó có đáng để mình đánh đổi không?""",,,,,,,,,,,,,
,A2.C,Tránh né & Bình thường hóa,"""Cả thế giới chỉ có người giỏi mới học được Piano thôi, mình bình thường, mình không học được cũng không sao.""",,,,,,,,,,,,,
,A3,Nhận thức sâu sắc & Định hình lại,"""Khoan đã, mình có thể học được Piano, không nhiều rào cản như mình từng nghĩ.""",,,,,,,,,,,,,
,A4,Hành động đầu tiên,"""Có lẽ mình nên tìm hiểu những cách học Piano phù hợp với bản thân, chắc chắn sẽ có cách phù hợp với mình.""",,,,,,,,,,,,,
,A5,Nhận thức giải pháp,"""Học Piano đang có các cách gì nhỉ?Hình như có mấy cách truyền thống này, để xem có phù hợp với mình không""",,,,,,,,,,,,,
,A6,Cân nhắc - H4,"""Hình như ngoài các cách truyền thống còn có cách học mới là qua app nữa. Nghe có vẻ mới lạ và có thể có nhiều rủi ro""","Chưa biết đặt câu hỏi như thế nào về việc dùng app học, chỉ thấy nó hay thôi",,,,,,,,,,,,
,A7,So sánh và do dự,"""Mình mới tìm hiểu một chút về học app, cần có nhiều dữ kiện hơn để so sánh xem có phù hợp với mình không""",,,,,,,,,,,,,
,A7.A,So sánh chi phí (Ability) - H2,"""Cách học app này cũng hay đấy, nhưng liệu mình có học được với app không nhỉ?""","Đặt câu hỏi về What, How to learn with this",,,,,,,,,,,,
,A7.B,Đánh giá tính khả thi (Motivation) - H3,"""Cách học app này cũng hay đấy, nhưng liệu mình có chơi được với app này không?""","Đặt câu hỏi về How long, How often when learning by this",,,,,,,,,,,,
,A8,Quyết định thử nghiệm,"""Tôi quyết định sẽ học thử app để trải nghiệm và đưa ra đánh giá với những giả thuyết vừa rồi""",,,,,,,,,,,,,
,A8.2,,"""Tôi quyết định học thử nhưng mà tôi bận quá, chưa có thời gian để tải, rồi cứ như vậy mà tôi cho nó trôi tuột luôn",,,,,,,,,,,,,
,R1,Học thử,"""Tôi đang thấy hứng thú và có động lực tiếp tục khi học thử với app.""",,,,,,,,,,,,,
,R2,Duy trì việc thử,"""Tôi đang thấy tiến triển và mong muốn tiếp tục sử dụng app vào ngày mai""",,,,,,,,,,,,,
,R2.3,Dormant,"""Tôi dùng thử rồi, thấy không biết học gì, học sao, khó dùng quá""",,,,,,,,,,,,,
,,,"""Tôi dùng thử rồi, dùng hết tính năng rồi, thấy không phù hợp""",,,,,,,,,,,,,
,R3,Sẵn sàng trả tiền để học tiếp,"""Tôi cảm thấy app đáng tiền và đủ hiệu quả để tôi đặt cược tương lai""",,,,,,,,,,,,,
,R4,Niềm tin vào phương pháp,"""Tôi tin rằng tôi có thể học và chơi thành công đàn piano với app này.""",,,,,,,,,,,,,
,R5,Duy trì hành động & Hình thành thói quen,"""Tôi đang thấy tiến triển và có động lực tiếp tục học đàn Piano mỗi ngày, tạo được thói quen tốt và sở thích tốt.""",,,,,,,,,,,,,
,R5.2,Học đều đặn nhưng chưa gắn bó với thương hiệu,"""Tôi thấy học Simpia cũng được, cũng vui, tạo được thói quen tốt cho tôi, nhưng chưa đủ impact để tôi đi khoe và lan tỏa thông điệp""",,,,,,,,,,,,,
,R6,Trao quyền & Lan tỏa,"""Tôi đã giải quyết được việc học Piano thật dễ dàng và vui vẻ, tôi cần phải lan tỏa và chia sẻ năng lượng này cho nhiều người hơn.""",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mua cho,,,,,,,,,,,,,,,,
,Cho bản thân,,,,,,,,,,,,,,,
,Cho bé,,,,,,,,,,,,,,,
,Cho người già,,,,,,,,,,,,,,,
,Cho bé,,,,,,,,,,,,,,,
,Cho cả gia đình,,,,,,,,,,,,,,,
,Cho học sinh,,,,,,,,,,,,,,,
Expectation,,,,,,,,,,,,,,,,
,Học được,,,,,,,,,,,,,,,
,Học được,,,,,,,,,,,,,,,
,Chơi được 1 bài tủ,,,,,,,,,,,,,,,
,Chơi được bất kì sheet nhạc cơ bản nào,,,,,,,,,,,,,,,
,Chơi được bất kì sheet nhạc phức tạp nào,,,,,,,,,,,,,,,
,Biểu diễn được,,,,,,,,,,,,,,,
,Thi được chứng chỉ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuổi người mua,,,,,,,,,,,,,,,,
,16-22,,,,,,,,,,,,,,,
,22-30,,,,,,,,,,,,,,,
,30-50,,,,,,,,,,,,,,,
,50+,,,,,,,,,,,,,,,
Định dạng ,,,,,,,,,,,,,,,,
,Video,,,,,,,,,,,,,,,
,Pdf,,,,,,,,,,,,,,,
,Ảnh,,,,,,,,,,,,,,,
,Link,,,,,,,,,,,,,,,
,Text,,,,,,,,,,,,,,,
Kết quả tương tác,,,,,,,,,,,,,,,,
,Không tương tác,,,,,,,,,,,,,,,
,React/Open,,,,,,,,,,,,,,,
,Phản hồi/Click,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Loại nội dung,,,,,,,,,,,,,,,,
,Giới thiệu,,,,,,,,,,,,,,,
,H4,,,,,,,,,,,,,,,
,Add value,,,,,,,,,,,,,,,
,Promotion,,,,,,,,,,,,,,,
Content,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Tên nội dung,Định dạng,Link,Loại nội dung,Mục tiêu (P_level),,,,,,,,,,,
,Giới thiệu app,Video,https://padlet.com/kiettran4/sales-material-2tbslra4ndtl7jtz/wish/j40PQD4Yv3mJQvXB,Giới thiệu,,,,,,,,,,,,
,Giới thiệu khóa học,Video,https://padlet.com/kiettran4/sales-material-2tbslra4ndtl7jtz/wish/lDK1ZRkLNVOYWJ9z,Giới thiệu,,,,,,,,,,,,
,Giới thiệu app cho bé,Video,https://padlet.com/kiettran4/sales-material-2tbslra4ndtl7jtz/wish/J24jalzoP1VmZ0A1,Giới thiệu,,,,,,,,,,,,
,Tutor,Video,https://padlet.com/kiettran4/sales-material-2tbslra4ndtl7jtz/wish/L8KjW92vNVmVaJbv,Giới thiệu,,,,,,,,,,,,
,Song,Video,https://padlet.com/kiettran4/sales-material-2tbslra4ndtl7jtz/wish/wKmOZ5A707qPZzMA,Giới thiệu,,,,,,,,,,,,
,Lộ trình 12 tháng,Ảnh,,Giới thiệu,,,,,,,,,,,,
,Tải app,Link,https://padlet.com/kiettran4/sales-material-2tbslra4ndtl7jtz/wish/lkDVaK4VkYpAQPp9,Giới thiệu,,,,,,,,,,,,
,Giftcode 3 ngày,Text,,Giới thiệu,,,,,,,,,,,,
,Sách,Pdf,,Add value,,,,,,,,,,,,
,Cộng đồng,Link,,Add value,,,,,,,,,,,,
,H4 a trai,Video,,H4,,,,,,,,,,,,
,H4 bác Vũ,Video,,H4,,,,,,,,,,,,
,H4 bo,Video,,H4,,,,,,,,,,,,
,H4 2 bé,Video,,H4,,,,,,,,,,,,
,HD đăng ký,Text,,,,,,,,,,,,,,
,3 triệu down load,Ảnh,,Promotion,,,,,,,,,,,,
,Ngày đặc biệt,Ảnh,,Promotion,,,,,,,,,,,,
,Giữ khuyến mãi,Text,,,,,,,,,,,,,,
,Lộ trình 10 tuần,Pdf,,,,,,,,,,,,,,
,follow,Text,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Customer Journey (Content),,,,,,,,,,,,
,,,,,Journey 1,,,,,,,,,,,
,,,,,,Content Step,,,,,,,,,,
,,,,,,,Step 1,"Giới thiệu app, tải app",,,,,,,,
,,,,,,,Step 2,Sách,,,,,,,,
,,,,,,,Step 3,H4,,(từ step 2 lên step 3 nên cáhc nhau 1 ngày ),,,,,,
,,,,,,,Step 4,Khuyến mãi,,,,,,,,
,,,,,,,Step 5,Nhắc khuyến mãi,,,,,,,,
,,,,,,Usecase,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lý do drop,,,,,,,,,,,,
,,,,,Ghost,,,,,,,,,,,
,,,,,Sales cycle dài,,,,,,,,,,,
