Phase,Level Sales,Level tâm lý khách,,Giai đoạn,Suy nghĩ của khách hàng,MAT=B,,,,,user action by funnel,,,,,,,,
,,,A7.A,So sánh chi phí (Ability) - H2,"""Cách học app này cũng hay đấy, nhưng liệu mình có học được với app không nhỉ?""",Trung Bình,Trung bình,,"Do dự, chuẩn bị quyết định thử","Hỏi cụ thể về H2 app: community, inbox page, hỏi người trong cộng đồng, gọi hotline,.. (How to learn, what)",,"
dialog_setting_question_click
dialog_setting_midi_connection_open
dialog_troubleshoot_midi_connection","

Cân nhắc
Hỏi giá","
-Học bao lâu thì chơi được
-1 tài khoản dùng được bao nhiêu thiết bị
-Giá bao nhiêu",Xem các bài viết về MIDI,,"Các số trên +
Số câu hỏi (community, sales, hotline,..)
Traffic FAQ",,
,,,A7.B,Đánh giá tính khả thi (Motivation) - H3,"""Cách học app này cũng hay đấy, nhưng liệu mình có chơi được với app này không?""",Trung Bình,Trung Bình,,Sắp xếp priority cho việc thử cái gì trước,"Hỏi cụ thể về lộ trình để có được H3 app: học bao lâu, học bài nào, có thời khóa biểu không (How long, how often)",,,"- Hỏi cụ thể về lộ trình học như thế nào?
- Hỏi học cái này sau có chơi được mấy bài mình thích không?","
-Có bài A,B,C không?
-Có nhạc cổ điển/ pop/... không?
-Các câu hỏi về học đàn overall (có được satisifed trong app không) 
vd: tư thế, kỹ thuật tay, luyện ngón, nhịp - metronome
Kĩ thuật ngón
Âm giai (Scale từng key)
Rải ngón
Các vòng hợp âm cơ bản (1 vòng đệm được 100 bài)
Thị tấu/ đọc sheet nhạc
Cảm âm
Thường thức âm nhạc
Trình diễn, biểu diễn
Pedal để làm gì?",,,,,
Activation,,Evaluation,A8,Quyết định thử nghiệm,"""Tôi quyết định sẽ học thử app để trải nghiệm và đưa ra đánh giá với những giả thuyết vừa rồi""",Trung Bình,Trung Bình,"Easy-to-do step
Có người nhắc, có deadline đăng ký trải nghiệm","Đăng ký web
Install app","Install app
Nhận thông tin từ sales, inbound, hỏi nhiều: join community, inbox, trong group, gọi sales",,"play_via_midi_cable
play_via_midi_bluetooth


popup_create_profile_success (signup / signin)
collect_info_second_post","- Có dây MIDI
- Hỏi về cách học, tính năng cụ thể, báo lỗi trong app
","-Ac tải app rồi mà không dùng được (stuck tính năng, rối rắm về lộ trình, chưa được onboard tốt)",Click link Thanh toán trong mail followup sau đăng ký lead,,"Các số trên +
Install",,
,,,A8.2,,"""Tôi quyết định học thử nhưng mà tôi bận quá, chưa có thời gian để tải, rồi cứ như vậy mà tôi cho nó trôi tuột luôn",Trung Bình,Thấp/ Trung Bình,,,,,,,,,,,,
Retention,,Retention,R1,"Học thử
- dùng những tính năng miễn phí","""Tôi cảm thấy mình có thể học được với ứng dụng đấy""","Cao, đang lên",Trung Bình,Xác nhận từ xã hội,"Trial
Nhận chăm sóc từ sales, inbound (lead)",Dùng thử các tính năng miễn phí,"- Số ngày sử dụng >1
- Số session
- Time per session
- Playing time

- Hoàn thành B1
- Tìm kiếm, sử dụng youtube songs từ 3 lần trở lên
- Số nốt đúng khi practice songs >10
- Hoàn thành lessons trong 1 bài hát (chord, solo, course_lesson)","Số ngày sử dung: Property:
user_day_used_count > 1

Course:
- Hoàn thành B1
Sonata - course_lesson_unit_complete (LessonID 108)

Songs:
- Số lần sử dụng youtube songs >2
ytb_solo_play_start từ 3 lần trở lên
ytb_solo_play_practice từ 3 lần trở lên


- Số nốt đúng khi practice trong songs:
ytb_solo_play_practice_notes_me_track >10
ytb_chord_play_practice_notes_me_track>10

- Complete lesson trong songs
ytb_solo_learn_lesson_to_part_complete
ytb_chord_learn_lesson_to_part_complete
course_lesson_unit_complete

- dialog_setting_question_click
- dialog_setting_midi_connection_open
- dialog_troubleshoot_midi_connection

Tutor:
- Khi user hoàn thành bài practice và kết quả hiện thị lên
tutor_song_practice_result_show

- User practice trong gameplay, số nốt đúng >5
tutor_song_practice_notes_me_track, me_practice_correct_notes_count>5

Tổng thời gian dùng app > 20p
user_total_time_spend > 20",- Chủ động quay lại hỏi,"
-Để thử thêm ít ngày nữa
-Phần nốt rơi/... này thấy quảng cáo có thì trong app nằm ở đâu?","- Đăng ký 3 ngày dùng thử miễn phí
- Click xem sách Simpia","Đo độ hứng thú với việc học thử
Đo độ ""đang lên"" của motivation","L2
Cost per L2
Tỉ lệ L2/L1
FTUE (Thời gian từ install -> hoàn thành bài học đầu tiên)
Time to first value (TTFV) - Thời gian từ install -> trial
Số lượt vào các tính năng trả phí (events)
Trial Rate/ Tỉ lệ active giftcode dùng thử",,
,,,R1.3,Dormant,"""Tôi dùng thử rồi, thấy không biết học gì, học sao, khó dùng quá""",Trung bình,Cao,,,,,,App không đáp ứng nhu cầu/ bị bug,,,,,,
,,,,,"""Tôi dùng thử rồi, dùng hết tính năng rồi, thấy không phù hợp""",,,,,,,,,,,,,,
,,Retention,R2,Trial ,"""Tôi muốn thử hết tất cả các tính năng của app để xem có đáng để đầu tư cho phương pháp học này trong 1 năm không"" ","Cao, đang lên","Cao, đang lên",,"R1
Nhận chăm sóc từ sales, inbound","Trial: Dùng những tính năng trả tiền mới có (tutor, songs, khóa học cao,..)
Tìm hiểu cách sử dụng những tính năng trả phí hiệu quả

Quay lại dùng app thường xuyên",,"- Kích hoạt giftcode

- Dialog_paywall_buy_success
- course_lesson_unit_complete
LessonID 108
",Dùng thử mọi tính năng của app (phù hợp với bản thân),,,,"L2
Tỉ lệ L2/ L1
Trial Rate
R1 -> R7
Session Length
Frequency use (số ngày vào trong 1 tuần, DAU/WAU)
Progression Rate (tỉ lệ hoàn thành bài học, thời gian hoàn thành, số nốt đúng/ tổng số nốt,..)
Lesson Completion Rate
Learning Streak",,
,,,R2.3,Dormant,"""Tôi dùng thử tất cả tính năng rồi, thấy không biết học gì, học sao, khó dùng quá""",Trung bình,Cao,,"Mông lung, tìm kiếm hướng dẫn","Drop, không quay lại dùng app",,,,,,,,,
,,,,,"""Tôi dùng thử tất cả tính năng rồi, dùng hết tính năng rồi, thấy không phù hợp""",,,,Không dùng nữa/xóa app,"Xóa app
Từ chối nhận sales, các thông điệp inbound",,"Last seen 7 ngày trước
revenue_cat_cancellation
revenue_cat_billing_issue",App không đáp ứng nhu cầu/ bị bug,"""Chị xài rồi, thấy nhanh quá""",,,,,
,L3,,R3,Sẵn sàng trả tiền để học tiếp,"""Tôi cảm thấy app đáng tiền và đủ hiệu quả để tôi đặt cược tương lai""","Cao, đang lên","Cao, đang lên",,"R7
Có hành vi xuống tiền",Tìm hiểu phương thức thanh toán,"- Số ngày sử dụng > x
- DAU/WAU > x
- Total playing time > x","Số người sử dụng profile>1:
user_profile_using_count >1

Click vào community:
dialog_setting_community_click

user_day_used_count > x","-Đã dùng app rồi và thấy hài lòng, cân nhắc mua","-Thử rồi thấy cũng được, giá như nào
-Thấy trong app giá khác, làm sao mua được khuyến mãi
-Mua xong thì liên kết như nào
","- Đăng ký nhận sách Simpia
- Tham gia community
- Click link Thanh toán trong mail followup sau đăng ký lead",," L3
Tỉ lệ L3/ L2
Số người vào trang thanh toán của L2
Số inbox hỏi cách thanh toán
R1 -> R7",,
,,,R3.2,,"""Tôi cảm thấy app đáng tiền và đủ hiệu quả để tôi đặt cược tương lai nhưng giờ bận quá, chưa có thời gian học nên để khi nào rảnh học thì mua",Trung Bình,Thấp/ Trung Bình,,,,,,,,,,,,
Revenue,L4,Customer,R4,Niềm tin vào phương pháp,"""Tôi tin rằng tôi có thể học và chơi thành công đàn piano với app này.""","Cao, đang lên","Cao, đang lên",,Mua,"Mua, trả tiền",,,,,,,"L4
Payment Rate: Từ install -> purchase (aim 0.85%)
Conversion Rate từ Trial -> Purchase (aim 25%)
Tỉ lệ L4/L1 (CVR2) (aim 25%)
Tỉ lệ L4/L3 (aim 90%)
Revenue
ARPU",,
Referrals,,Loyalty,R5,Duy trì hành động & Hình thành thói quen,"""Tôi đang thấy tiến triển và có động lực tiếp tục học đàn Piano mỗi ngày, tạo được thói quen tốt và sở thích tốt.""",Cao,Cao,Xác nhận từ xã hội,Hình thành thói quen,Quay lại dùng app thường xuyên,,,,,,,"Churn
Renewal
NPS
Social Sentiment
UGC Contents",,
,,,R5.2,Học đều đặn nhưng chưa gắn bó với thương hiệu,"""Tôi thấy học Simpia cũng được, cũng vui, tạo được thói quen tốt cho tôi, nhưng chưa đủ impact để tôi đi khoe và lan tỏa thông điệp""",Cao,Cao,,"Học đủ bài, đều đặn",,,,,,,,,,
,,Referrals,R6,Trao quyền & Lan tỏa,"""Tôi đã giải quyết được việc học Piano thật dễ dàng và vui vẻ, tôi cần phải lan tỏa và chia sẻ năng lượng này cho nhiều người hơn.""",Cao,Cao,Nhận thức về bản thân,Nhận thấy bản thân đang tiến bộ,Giới thiệu cho người khác,,,,,,,Referral rate,,
