Phase,Level Sales,Level tâm lý khách,,Giai đoạn,Suy nghĩ của khách hàng vào năm học,,Trigger,,H3,,user action by funnel,,,,,,
,,,A7.A,"So sánh chi phí (Ability) - H2
Mẹ --> Tự compare","Mẹ cân nhắc các giải pháp mẹ & con đang hiện có (vd: học online qua bài giảng, học online trực tuyến với giáo viên,...)

Cái nào là tiện và hợp lý nhất cho lịch trình của con và khả năng của mẹ (chi phí, khả năng đưa đón)","Trước giờ đã từng cho con đi học trung tâm -> Hiểu ability của việc đó cost như thế nào (tiền, thời gian đưa đón, thời gian của con,..)",,,"Gỡ bỏ hết các vướng mắt để dễ dàng so sánh được giữa các lựa chọn

Mẹ đánh giá được trên các criteria ngầm trong đầu mẹ
+ Tiện lợi cho con: lịch trình học của con
+ Tiện lợi cho mẹ: đưa đón được các con

Ngoài ra còn
+ Đàn của mình có học được không? Có mua thêm dây gì không?","Mẹ tự đánh giá được các criteria ngầm:
+ Tiền
+ Thời gian của con
+ Thời gian của mẹ

Ngoài ra còn
+ Đàn của mình có học được không? Có mua thêm dây gì không?",,,,,,,
,,,A7.B,Đánh giá tính khả thi (Motivation) - H3,"Lo ngại về tính cách con, biết về năng khiếu, sự tập trung, khả năng kiên nhẫn của con mình, tin rằng mình hiểu con hơn ai hết
+ Con có tự học môn này được ko? Không có giáo viên, con có biết tự học là gì không? Các môn khác thì con có học thực tế với giáo viên bên ngoài - học phối hợp online. Còn môn này thì hoàn toàn mới. Mẹ cũng chưa biết gì về âm nhạc
+ Con có đủ kiên trì để học hết trong 1 năm không? con dễ học được vài ngày rồi chán","Nhận thức rõ khi đưa con đi học trung tâm --> Phó mặc cho giáo viên, không cần can thiệp
--> Lo ngại về tính cách con, tin rằng mình hiểu con hơn ai hết
+ Con có khả năng tự học ko?
+ Con bỏ ngang thì sao? ko có giáo viên chắc cũng dễ bỏ
+ Mình không có kiến thức âm nhạc, ko chỉ đc cho con khi con k hiểu
+ Các vấn đề trước đây gặp với giáo viên, có xuất hiện lại trong phương pháp này không (VD: Con chán/ con học mãi không tiếp thu được/ con không bao giờ chủ động tập,..)",,,,,,,,,,,
Activation,,Evaluation,A8,Quyết định thử nghiệm,"Tải app cho con thử coi con có học được không, con có thích không",Tôi đã quyết định cho con mình dùng thử Simpia.,Onboarding dễ dàng với cách onboarding quen thuộc,,"Hài lòng vì được dùng thử miễn phí
Tải app - dùng thử được dễ dàng. không bắt phải nhập thông tin thẻ gì cả",,,,,,,,
Retention,,Retention,R1,"Học thử
- dùng những tính năng miễn phí",,Con tôi đã dùng thử Simpia và tôi thấy con khá hứng thú,,,"Hài lòng vì dễ dùng
Ứng dụng lắng nghe được tiếng đàn của con
Con hiểu được nội dung bài học và tự đánh theo được
Con có vẻ thích thú",,,,,,,,
,,,R1.3,Dormant,,"Tôi cho con dùng thử, nhưng con tôi có vẻ không hứng thú lắm.",,,,,,,,,,,
,,Retention,R2,Trial ,,Muốn xem con có kiên trì không trước khi đầu tư gói dài,,,,,,,,,,,
,,,R2.3,Dormant,,"""Tôi dùng thử tất cả tính năng rồi, thấy không biết học gì, học sao, khó dùng quá""",,,,,,,,,,,
,,,,,,"“Con đã thử nhiều tính năng, nhưng gia đình chưa thấy con tiến bộ rõ/không phù hợp",,,,,,,,,,,
,L3,,R3,Sẵn sàng trả tiền để học tiếp,,"App có vẻ hiệu quả, bé hào hứng, tôi đầu tư dài hạn",,,,,,,,,,,
,,,R3.2,,,"Mình tin là tốt, nhưng chưa sắp xếp thời gian để con học thêm.",,,,,,,,,,,
Revenue,L4,Customer,R4,Niềm tin vào phương pháp,,"Đã mua gói, yên tâm con có thể phát triển khả năng âm nhạc",,,,,,,,,,,
Referrals,,Loyalty,R5,Duy trì hành động & Hình thành thói quen,,"Con học đàn đều, thích thú, nhưng chưa thực sự ‘thần tượng’ Simpia hay ‘khoe’ với ai.",,,,,,,,,,,
,,,R5.2,Học đều đặn nhưng chưa gắn bó với thương hiệu,,"Con vẫn học thường xuyên, nhưng với bé (hay bố mẹ), Simpia chỉ là một app",,,,,,,,,,,
,,Referrals,R6,Trao quyền & Lan tỏa,,"Con tôi đã học piano rất vui, tiến bộ, tôi muốn giới thiệu cho phụ huynh khác",,,,,,,,,,,
